"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Shared Checking (1852)","","10/07/2024","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$9.00,$0.00,"Reconciled"
"Shared Checking (1852)","","10/07/2024","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$5.99,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/06/2024","Orlando Repertory Thea","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$130.00,$0.00,"Reconciled"
"Apple Card","","10/06/2024","Renzo's Vitamins","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$62.96,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","10/06/2024","YouTube Premium","Hidden Categories: YouTube Premium","Hidden Categories","YouTube Premium","",$9.10,$0.00,"Reconciled"
"Apple Card","","10/06/2024","ParkMobile","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$2.45,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/06/2024","Oracle America Inc","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$0.10,$0.00,"Reconciled"
"Citi Costco Card","","10/05/2024","Sam's Club","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$241.44,$0.00,"Reconciled"
"Apple Card","","10/05/2024","DFTBA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$14.72,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/04/2024","Maitland Montessori Schoo","Fixed Monthly Expenses: School 🏫","Fixed Monthly Expenses","School 🏫","",$1582.19,$0.00,"Reconciled"
"Shared Checking (1852)","","10/04/2024","Duke Energy","Fixed Monthly Expenses: Electricity 💡","Fixed Monthly Expenses","Electricity 💡","",$479.06,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/04/2024","Paul's Pool Service Inc","Fixed Monthly Expenses: Pool Service 🏊","Fixed Monthly Expenses","Pool Service 🏊","",$175.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/04/2024","Shawna Rathie Schultz","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$150.00,$0.00,"Reconciled"
"Citi Costco Card","","10/04/2024","Tokyo Sushi Hibachi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$126.40,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/04/2024","Primal Trust Academy","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$96.00,$0.00,"Reconciled"
"Apple Card","","10/04/2024","Bach Winter Park","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$18.75,$0.00,"Reconciled"
"Apple Card","","10/04/2024","Ea Tiburon","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.72,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/04/2024","Taco Bell","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$7.32,$0.00,"Reconciled"
"Apple Card","","10/04/2024","Publix","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$7.19,$0.00,"Reconciled"
"Shared Checking (1852)","","10/03/2024","Lowes","Hidden Categories: Garden 🌱","Hidden Categories","Garden 🌱","",$274.11,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","10/03/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$65.64,$0.00,"Reconciled"
"Apple Card","","10/03/2024","7-Eleven","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$32.12,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/03/2024","Allegro Music Center","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$28.36,$0.00,"Reconciled"
"Shared Checking (1852)","","10/03/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$28.21,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","10/03/2024","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$26.42,$0.00,"Reconciled"
"Apple Card","","10/03/2024","www.thaili* thailiciou","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$25.57,$0.00,"Reconciled"
"Apple Card","","10/03/2024","Dunkin' Donuts & Baskin-Robbins","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$25.00,$0.00,"Reconciled"
"Apple Card","","10/03/2024","Apple","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","Procreate Dreams",$19.99,$0.00,"Reconciled"
"Apple Card","","10/03/2024","Nic*-fdotdist5 Sunrail","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$10.25,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","10/02/2024","Amazon","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","Keyboards",$149.50,$0.00,"Reconciled"
"Apple Card","","10/02/2024","Intuit","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$108.00,$0.00,"Reconciled"
"Apple Card","","10/02/2024","Drphillips Ctr Tkts","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$96.76,$0.00,"Reconciled"
"Apple Card","","10/02/2024","BENTO asian kitchen + sushi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$56.82,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","10/02/2024","Amazon","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","Vocaloid toy",$38.51,$0.00,"Reconciled"
"Citi Costco Card","","10/02/2024","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$38.08,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","10/02/2024","Chewy","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$26.72,$0.00,"Reconciled"
"Apple Card","","10/02/2024","Ea Tiburon","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.72,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/02/2024","Blaze Pizza","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$9.27,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","10/02/2024","Amazon","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","Sensory rings",$8.01,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","10/02/2024","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$7.10,$0.00,"Reconciled"
"Shared Checking (1852)","","10/01/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$315.00,$0.00,"Reconciled"
"Shared Checking (1852)","","10/01/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$150.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","10/01/2024","Ascent Autism","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$99.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","10/01/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$65.50,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","10/01/2024","Annual Membership Fee","Subscriptions ⏱️: Disney Card Fee","Subscriptions ⏱️","Disney Card Fee","",$49.00,$0.00,"Reconciled"
"Shared Checking (1852)","","10/01/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$20.00,$0.00,"Reconciled"
"TrustCo Checking","","09/30/2024","Loan Payment","Paying Off: TrustCo HECL","Paying Off","TrustCo HECL","LOAN PAYMENT 000004425115",$237.73,$0.00,"Reconciled"
"Shared Checking (1852)","","09/30/2024","Transfer to Venmo","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$165.00,$0.00,"Reconciled"
"Shared Checking (1852)","","09/30/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$78.10,$0.00,"Reconciled"
"Shared Checking (1852)","","09/30/2024","Check #6777","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","kids night out",$75.00,$0.00,"Reconciled"
"Apple Card","","09/30/2024","Tijuana Flats","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$59.83,$0.00,"Reconciled"
"Apple Card","","09/30/2024","Apple Store","Hidden Categories: iPhone 14","Hidden Categories","iPhone 14","",$54.08,$0.00,"Reconciled"
"Apple Card","","09/30/2024","Apple Store","Paying Off: iPhone 15","Paying Off","iPhone 15","",$49.07,$0.00,"Reconciled"
"Shared Checking (1852)","","09/30/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$45.00,$0.00,"Reconciled"
"Shared Checking (1852)","","09/30/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$31.69,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/30/2024","Audible","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$17.00,$0.00,"Reconciled"
"Apple Card","","09/30/2024","Apple Store","Hidden Categories: Apple Pencil ✏️","Hidden Categories","Apple Pencil ✏️","",$8.66,$0.00,"Reconciled"
"Apple Card","","09/30/2024","Apple Store","Hidden Categories: Apple Pencil ✏️","Hidden Categories","Apple Pencil ✏️","",$2.08,$0.00,"Reconciled"
"Apple Card","","09/29/2024","www.thaili* thailiciou","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$66.36,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/29/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$48.50,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/29/2024","The Collective","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$40.65,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/29/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$38.33,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/29/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$38.33,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/29/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$23.65,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/29/2024","Amazon","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","SD card for Erivyn's Switch",$23.53,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/29/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$8.30,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/29/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$6.17,$0.00,"Reconciled"
"TrustCo Checking","","09/28/2024","Transfer : Longwood Mortgage","Paying Off: Mortgage 🏘","Paying Off","Mortgage 🏘","",$1320.84,$0.00,"Reconciled"
"Apple Card","","09/28/2024","Intuit","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$108.00,$0.00,"Reconciled"
"Apple Card","","09/28/2024","Buoy","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$33.15,$0.00,"Reconciled"
"Apple Card","","09/28/2024","ClickBank","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$23.98,$0.00,"Reconciled"
"Apple Card","","09/28/2024","Foxtail Coffee","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$10.82,$0.00,"Reconciled"
"Apple Card","","09/28/2024","ClickBank","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$1.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/27/2024","Shawna Rathie Schultz","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$150.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/27/2024","Nintendo","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$59.99,$0.00,"Reconciled"
"Apple Card","","09/27/2024","Apple","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","MuseScore",$41.37,$0.00,"Reconciled"
"Citi Costco Card","","09/27/2024","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Reconciled"
"Apple Card","","09/27/2024","Speedway","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$8.00,$0.00,"Reconciled"
"Citi Costco Card","","09/26/2024","Costco","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$182.92,$0.00,"Reconciled"
"Apple Card","","09/26/2024","www.thaili* thailiciou","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$113.68,$0.00,"Reconciled"
"Apple Card","","09/26/2024","Valvoline","Variable Expenses: Repairs 🛠","Variable Expenses","Repairs 🛠","",$58.83,$0.00,"Reconciled"
"Apple Card","","09/26/2024","The UPS Store","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$55.60,$0.00,"Reconciled"
"Citi Costco Card","","09/26/2024","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$47.82,$0.00,"Reconciled"
"Apple Card","","09/26/2024","DFTBA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$22.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/26/2024","Chick-fil-A","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$16.61,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/26/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$12.00,$0.00,"Reconciled"
"Apple Card","","09/26/2024","Publix","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$6.59,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/26/2024","Google One","Subscriptions ⏱️: Google Storage","Subscriptions ⏱️","Google Storage","",$2.99,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/25/2024","National Risk Sol","Fixed Monthly Expenses: Home Insurance 💥","Fixed Monthly Expenses","Home Insurance 💥","",$470.59,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/25/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$150.94,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/25/2024","WOW!","Fixed Monthly Expenses: Cable & Internet 🖥️","Fixed Monthly Expenses","Cable & Internet 🖥️","",$80.00,$0.00,"Reconciled"
"Apple Card","","09/25/2024","Speedway","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$45.34,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/25/2024","Burger King","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$19.14,$0.00,"Reconciled"
"Apple Card","","09/25/2024","Ea Tiburon","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$5.86,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/24/2024","Fullscript","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$119.82,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/24/2024","Ascent Autism","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$49.50,$0.00,"Reconciled"
"Apple Card","","09/24/2024","Tijuana Flats","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$23.72,$0.00,"Reconciled"
"Apple Card","","09/24/2024","Publix","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$22.29,$0.00,"Reconciled"
"Apple Card","","09/24/2024","Tropical Smoothie Cafe","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$13.89,$0.00,"Reconciled"
"Apple Card","","09/24/2024","Tijuana Flats","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$5.94,$0.00,"Reconciled"
"Apple Card","","09/24/2024","The New York Times","Subscriptions ⏱️: NY Times","Subscriptions ⏱️","NY Times","",$4.00,$0.00,"Reconciled"
"Shared Checking (1852)","","09/23/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$171.82,$0.00,"Reconciled"
"Shared Checking (1852)","","09/23/2024","Water Service","Fixed Monthly Expenses: Utilities 🚿","Fixed Monthly Expenses","Utilities 🚿","",$152.08,$0.00,"Reconciled"
"Apple Card","","09/23/2024","Fullscript","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$147.55,$0.00,"Reconciled"
"Apple Card","","09/23/2024","Great Clips","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$79.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/23/2024","Amazon","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","AC Filters",$59.04,$0.00,"Reconciled"
"Apple Card","","09/23/2024","PetSmart","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$24.56,$0.00,"Reconciled"
"Apple Card","","09/23/2024","Fun Spot Orlando","Variable Expenses: Gifts/Presents 🎁","Variable Expenses","Gifts/Presents 🎁","",$7.43,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/23/2024","Wendy's","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$6.93,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/23/2024","Amazon","Variable Expenses: Repairs 🛠","Variable Expenses","Repairs 🛠","Glue for shoe soles",$6.41,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/23/2024","Amazon Kids+","Hidden Categories: Amazon Kids+","Hidden Categories","Amazon Kids+","",$5.99,$0.00,"Reconciled"
"Apple Card","","09/23/2024","Fun Spot","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$4.25,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/22/2024","Browns Gym Orbit","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$333.60,$0.00,"Reconciled"
"Apple Card","","09/22/2024","Trader Joe's","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$231.99,$0.00,"Reconciled"
"Apple Card","","09/22/2024","Bach Festival Soci","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$200.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Browns Gym Orbit","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$32.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$11.25,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$11.07,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Caliber Car Wash Winter","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$10.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$6.25,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$5.50,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/22/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$5.00,$0.00,"Reconciled"
"Apple Card","","09/22/2024","PetSmart","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$4.27,$0.00,"Reconciled"
"Shared Checking (1852)","","09/20/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$108.82,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/20/2024","Shawna Rathie Schultz","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$100.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/20/2024","Covetrus","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$33.93,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/20/2024","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$24.59,$0.00,"Reconciled"
"Shared Checking (1852)","","09/20/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$20.00,$0.00,"Reconciled"
"Apple Card","","09/20/2024","EA - Cafeteria","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.72,$0.00,"Reconciled"
"Apple Card","","09/20/2024","Good-Store-Dftba","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$10.36,$0.00,"Reconciled"
"Apple Card","","09/20/2024","Michaels","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$6.41,$0.00,"Reconciled"
"Shared Checking (1852)","","09/19/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$150.00,$0.00,"Reconciled"
"Shared Checking (1852)","","09/19/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$55.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/19/2024","Lands' End","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$51.32,$0.00,"Reconciled"
"Citi Costco Card","","09/19/2024","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$46.07,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/19/2024","Amazon","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$44.04,$0.00,"Reconciled"
"Apple Card","","09/19/2024","Exxon","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$43.58,$0.00,"Reconciled"
"Citi Costco Card","","09/19/2024","Lakes Thai Inter","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$40.60,$0.00,"Reconciled"
"Apple Card","","09/19/2024","Starbucks","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$25.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","09/19/2024","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$14.40,$0.00,"Reconciled"
"Apple Card","","09/18/2024","IN *The Center for Hea","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","emme eval - get reimbursed",$800.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/18/2024","Integrative Peptides","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$150.00,$0.00,"Reconciled"
"Shared Checking (1852)","","09/18/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$117.62,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/18/2024","Wiewiora and Dunn Orth","Fixed Monthly Expenses: Orthodontist 😬","Fixed Monthly Expenses","Orthodontist 😬","",$73.00,$0.00,"Reconciled"
"Apple Card","","09/18/2024","HomeGoods","Variable Expenses: Home Improvement 🏗️","Variable Expenses","Home Improvement 🏗️","",$44.93,$0.00,"Reconciled"
"Apple Card","","09/18/2024","Sally Beauty","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$16.04,$0.00,"Reconciled"
"Apple Card","","09/18/2024","Orlando Ave. at Fairbanks","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$13.51,$0.00,"Reconciled"
"Apple Card","","09/18/2024","Publix","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$7.69,$0.00,"Reconciled"
"Shared Checking (1852)","","09/18/2024","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$4.08,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/17/2024","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$292.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/17/2024","Tijuana Flats","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$23.72,$0.00,"Reconciled"
"Apple Card","","09/17/2024","Tropical Smoothie Cafe","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$13.89,$0.00,"Reconciled"
"Apple Card","","09/17/2024","Hummus House","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$12.80,$0.00,"Reconciled"
"Shared Checking (1852)","","09/16/2024","T-Mobile","Fixed Monthly Expenses: Phone 📱","Fixed Monthly Expenses","Phone 📱","",$155.49,$0.00,"Reconciled"
"Chase Sapphire (1661)","","09/16/2024","Ah Mychart Medepay","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$90.44,$0.00,"Reconciled"
"Citi Costco Card","","09/16/2024","Hana Sushi Altamonte","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$50.37,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/16/2024","Raglan Road Irish Pu","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$48.93,$0.00,"Reconciled"
"Apple Card","","09/16/2024","Trader Joe's","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$47.32,$0.00,"Reconciled"
"Apple Card","","09/16/2024","Netflix","Hidden Categories: Netflix","Hidden Categories","Netflix","",$17.53,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/16/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$17.03,$0.00,"Reconciled"
"Apple Card","","09/16/2024","Ikea","Variable Expenses: Home Improvement 🏗️","Variable Expenses","Home Improvement 🏗️","",$15.96,$0.00,"Reconciled"
"Citi Costco Card","","09/16/2024","Burger King","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$15.10,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","09/16/2024","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$13.61,$0.00,"Reconciled"
"Apple Card","","09/16/2024","Trader Joe's","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$12.88,$0.00,"Reconciled"
