"Category","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Average","Total"
"Unknown",0.00,0.00,-159.51,-111.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.13,0.00,0.00,0.00,-34.05,0.00,-76.48,-37.25,0.00,-9.61,-128.11,-132.16,-141.18,-147.84,2.34,-2.06,-0.86,-0.01,-10.44,9.09,-2.63,-2.11,0.00,-22.05,-992.06
"Fixed Monthly Expenses",-856.41,-1496.55,-1813.63,-2496.96,-2143.25,-1888.14,-2266.25,-2772.60,-2579.84,-2587.70,-2668.50,-2386.25,-3215.77,-1793.71,-3568.07,-1762.36,-2278.38,-3415.83,-3816.52,-4958.46,-2729.87,-2219.83,-3689.24,4739.05,-3349.59,-2792.71,-3136.67,-2517.71,-2110.54,-3175.24,-3831.57,-4226.49,-3577.03,-3492.59,-4105.01,-3120.26,-4130.58,-3282.27,-6607.61,-1570.38,-3656.94,-6024.24,-3421.32,-4504.52,-2130.01,-2876.19,-129428.35
"Utilities 🚿",0.00,-153.19,-150.27,-168.73,-179.63,-111.98,-98.80,-80.71,-117.92,-147.19,-143.64,-151.29,-153.50,-136.71,-168.59,-158.00,-125.91,-181.81,-206.70,-170.13,-145.51,-113.10,-81.52,-88.49,-78.47,-122.28,-117.85,-154.02,-155.79,-163.33,-152.08,-181.19,-149.46,-147.09,-168.03,-155.85,-159.67,-149.57,-160.02,-121.62,-115.77,-139.91,-119.97,-154.25,0.00,-135.55,-6099.54
"Electricity 💡",0.00,-284.73,-265.02,-355.74,-390.78,-364.64,-352.96,-319.12,-269.36,-287.69,-301.00,-288.35,-297.42,-324.42,0.00,-667.84,0.00,-459.76,-445.78,-449.89,-358.73,-270.15,-272.97,-258.38,-244.38,-246.34,-264.61,-355.68,-386.75,-423.06,-486.74,-479.06,-398.82,-656.76,0.00,-166.67,-330.69,-323.96,-367.18,-463.23,-638.79,-664.06,-726.32,-694.94,-540.94,-358.75,-16143.71
"Cable & Internet 🖥️",-74.99,-74.99,-74.99,-74.99,-94.99,-94.99,-94.99,-94.99,-94.99,-94.99,-94.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-60.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,0.00,-82.77,-3724.82
"Cleaning ✨",-221.50,-310.00,-315.00,-350.00,-165.00,-340.00,-827.50,-340.00,-495.00,-175.00,-330.00,-366.63,-355.00,0.00,-20.00,0.00,-10.00,-495.00,-165.00,-330.00,-330.00,-330.00,-445.00,-185.00,-495.00,-340.00,-370.00,-330.00,0.00,-330.00,-340.00,-330.00,-330.00,-370.00,-533.75,-339.00,-345.00,-330.00,-950.00,-165.00,-558.00,-165.00,-195.64,-10.00,0.00,-305.04,-13727.02
"Phone 📱",0.00,-143.44,-153.44,-161.79,-155.15,-239.03,-154.50,-154.50,-154.50,-259.94,-154.50,-182.10,-154.50,-154.50,-154.50,-168.70,-154.50,-157.96,-154.50,-154.50,-154.50,-154.50,-114.73,-132.96,-132.96,-132.96,-132.95,-132.95,-132.95,-132.97,-155.49,-132.97,-132.97,-132.97,-132.97,-132.97,-132.97,-132.97,-135.25,-135.25,-135.25,-135.25,-135.25,-135.25,-135.27,-145.65,-6554.03
"Pest Control 🐜",0.00,-120.20,0.00,-139.95,-120.20,0.00,0.00,0.00,-120.20,0.00,0.00,0.00,0.00,-120.20,0.00,0.00,-120.20,0.00,0.00,-120.20,0.00,0.00,-127.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-78.40,0.00,0.00,-135.00,0.00,0.00,-135.00,0.00,0.00,0.00,-135.00,0.00,-135.00,0.00,-35.71,-1606.95
"Pool Service 🏊",-230.00,-410.00,-525.00,0.00,-650.00,-350.00,-350.00,0.00,-350.00,-700.00,0.00,-350.00,-350.00,0.00,-350.00,-175.00,-175.00,-325.00,0.00,-350.00,0.00,0.00,-350.00,0.00,-350.00,0.00,-350.00,-175.00,-175.00,-175.00,0.00,-175.00,-350.00,0.00,-350.00,0.00,-350.00,0.00,-525.00,0.00,-175.00,-350.00,-175.00,-175.00,0.00,-218.67,-9840.00
"Home Insurance 💥",-329.92,0.00,-329.91,-1245.76,-387.50,-387.50,-387.50,-387.50,-387.50,-387.50,-387.50,-387.50,-387.50,-387.50,-996.73,-424.83,-424.83,-424.83,-424.84,-424.83,-424.84,-424.83,-424.84,-424.83,-424.84,-424.83,-984.78,-470.58,-470.58,-470.58,-470.59,-470.58,-470.59,-470.58,-470.59,-470.58,-470.59,-470.58,-1020.58,-427.33,-427.33,-427.33,-427.34,-427.33,0.00,-461.53,-20768.93
"School 🏫",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1395.78,-590.37,-535.39,-605.39,-560.39,-575.39,-570.39,-555.39,0.00,0.00,-1207.30,-1013.30,-681.10,-1153.30,-774.25,-1123.30,-1008.30,-789.47,-1073.30,-763.48,-95.00,0.00,-1327.30,-1427.19,-1582.19,-1592.19,-1562.19,-1477.19,-1552.19,-1557.19,-1587.19,-1597.18,-75.00,-1433.80,-1433.80,-1458.80,-1448.80,-1453.80,-836.37,-37636.59
"Orthodontist 😬",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-347.50,-73.00,-73.00,-73.00,-73.00,-73.00,-373.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,-223.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,-73.00,0.00,-56.66,-2549.50
"Mel Education",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-651.48,0.00,-842.47,0.00,-1222.87,-68.00,-1167.95,-64.18,-1346.40,-1850.31,-9.99,0.00,-596.48,6990.01,-681.47,0.00,0.00,-651.48,-636.47,0.00,-646.48,-644.10,0.00,0.00,-684.48,0.00,-631.47,0.00,-1699.40,-29.95,-20.00,-2420.89,-30.00,-1170.95,0.00,-239.49,-10777.26
"Fixed Infrequent Expenses",0.00,0.00,-420.00,0.00,-719.00,-420.00,0.00,0.00,-420.00,-99.50,-773.00,-480.00,-3365.86,-48.95,-480.00,0.00,-1045.00,-480.00,0.00,0.00,-480.00,0.00,-1141.00,-3959.28,0.00,-156.50,-540.00,-1157.00,0.00,-597.20,0.00,0.00,-3937.19,0.00,-1158.00,-600.00,0.00,-422.32,-600.00,0.00,-2004.00,-600.00,0.00,0.00,-450.00,-590.08,-26553.80
"Property Taxes 💰",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3365.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3419.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3397.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-226.27,-10182.33
"Car Insurance 🚨",0.00,0.00,0.00,0.00,-719.00,0.00,0.00,0.00,0.00,0.00,-773.00,0.00,0.00,-48.95,0.00,0.00,-1045.00,0.00,0.00,0.00,0.00,0.00,-1141.00,0.00,0.00,0.00,0.00,-1157.00,0.00,0.00,0.00,0.00,0.00,0.00,-1158.00,0.00,0.00,-413.12,0.00,0.00,-2004.00,0.00,0.00,0.00,0.00,-187.98,-8459.07
"Vehicle Registration 📜",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-156.50,0.00,0.00,0.00,-57.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.16,-322.40
"Kids' College Funds 🎓",0.00,0.00,-420.00,0.00,0.00,-420.00,0.00,0.00,-420.00,0.00,0.00,-480.00,0.00,0.00,-480.00,0.00,0.00,-480.00,0.00,0.00,-480.00,0.00,0.00,-540.00,0.00,0.00,-540.00,0.00,0.00,-540.00,0.00,0.00,-540.00,0.00,0.00,-600.00,0.00,0.00,-600.00,0.00,0.00,-600.00,0.00,0.00,-450.00,-168.67,-7590.00
"Fun Money",-199.64,-846.63,-509.36,-655.68,-540.37,-560.51,-1387.18,-1244.05,-1221.11,-246.45,-82.28,-664.87,-710.63,-736.02,-878.45,-1781.37,-310.71,-256.62,-1042.31,-652.94,-345.94,-73.64,-64.56,-269.18,-505.70,-743.74,-618.88,-2766.77,-2847.20,-2065.27,-673.75,-1025.63,-1320.49,-1303.80,-762.31,-684.52,-413.03,-1954.35,-889.31,-2509.30,-227.04,-322.91,-683.53,-300.51,-165.55,-845.87,-38064.09
"Colin's Discretionary 🎮",-60.00,-16.08,-113.54,-57.51,-81.08,-238.13,-75.48,-157.16,-301.45,-80.46,13.33,-24.00,-51.39,-108.98,-100.15,-693.15,-162.64,-53.93,-136.14,-24.85,-14.01,46.74,40.58,-8.98,-127.87,-254.88,-198.08,-139.05,-36.23,-73.50,-75.13,-122.18,-344.95,-12.06,-59.73,-320.81,25.67,-196.62,-104.21,-77.65,-99.36,-91.86,-90.35,-119.67,-78.30,-112.34,-5055.28
"Melanie's Discretionary 🌱",0.00,-70.71,-125.45,-62.39,-54.77,-223.49,-181.00,-144.71,-135.80,0.00,-75.61,-229.85,-52.42,-4.00,-166.77,-17.97,0.00,0.00,-405.42,-278.48,0.00,-41.03,0.00,-13.26,-9.88,-138.42,0.00,-118.16,-74.00,-174.00,0.00,-138.17,-177.54,-54.31,-53.56,-40.00,-22.41,-345.00,-117.33,-6.99,0.00,-2.43,111.56,0.00,180.56,-76.96,-3463.21
"Erivyn Discretionary",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-63.02,0.00,-58.00,-215.46,-4.23,0.00,-7.57,-340.71
"Date Night 💞",0.00,-80.86,-137.97,-79.10,-152.82,0.00,-93.82,-121.21,-280.85,-16.19,0.00,-67.32,0.00,-232.34,-5.39,0.00,0.00,0.00,-153.40,-49.54,-99.12,0.00,0.00,-89.35,-47.46,-9.88,-20.64,0.00,-45.23,-776.55,-40.65,-108.49,0.00,-91.82,-58.84,-120.18,0.00,0.00,0.00,0.00,0.00,-29.50,-13.00,0.00,-82.54,-68.98,-3104.06
"Fun/Entertainment 🎉",-139.64,-678.98,-132.40,-456.68,-251.70,-98.89,-1036.88,-820.97,-503.01,-149.80,-20.00,-343.70,-606.82,-390.70,-606.14,-1070.25,-148.07,-202.69,-347.35,-300.07,-232.81,-79.35,-105.14,-157.59,-320.49,-340.56,-400.16,-2509.56,-2691.74,-1041.22,-557.97,-656.79,-798.00,-1145.61,-590.18,-203.53,-416.29,-1412.73,-667.77,-2361.64,-127.68,-141.12,-476.28,-176.61,-185.27,-580.02,-26100.83
"Subscriptions ⏱️",-2.99,-61.86,-131.27,-84.48,-136.92,-79.26,-136.32,-243.17,-197.12,-44.13,-501.53,-161.68,-232.60,-93.46,-148.44,-114.58,-160.63,-146.23,-273.90,-51.12,-348.59,-127.75,-257.84,-291.00,-428.85,-57.24,-143.38,-65.39,-185.65,-143.11,-285.68,-170.06,-262.05,-170.07,-110.16,-322.98,-258.78,-99.60,-199.16,-325.52,-229.29,-124.59,-176.76,-127.40,-296.54,-182.43,-8209.13
"1SE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.67,-29.99
"AAA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-110.00,0.00,0.00,-4.80,-216.00
"Amazon Kids+",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.99,-5.99,-5.99,-5.99,-5.99,-5.99,-5.99,-5.99,-5.99,-5.99,-5.99,2.37,0.00,0.00,0.00,-1.41,-63.52
"Amazon Prime",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-140.10,0.00,-14.99,-4.99,-63.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.97,-223.58
"Apple One",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-40.88,-40.88,-40.87,-73.85,-40.87,-40.08,-40.08,-40.08,-40.08,-40.08,-40.08,0.00,-40.08,-40.08,-40.08,-40.08,-40.08,-40.08,-40.08,-40.22,-74.76,0.00,-19.41,-873.37
"Audible",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.00,0.00,-17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.00,-16.79,0.00,0.00,0.00,-1.51,-67.79
"Calm Harm 🌞",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,-1.99
"Campaign Logger",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.04,-47.00
"Coconote 📝",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-99.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.22,-99.99
"Cozy Couples",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.99,0.00,0.00,0.00,0.00,0.00,-0.67,-29.99
"Disney Card Fee",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-49.00,0.00,0.00,0.00,0.00,0.00,0.00,-95.00,0.00,0.00,0.00,0.00,-49.00,0.00,-4.29,-193.00
"Disney+",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.66,0.00,0.00,0.00,-182.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-216.55,-9.32,-419.57
"Drive Weather 🚗",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,-5.99
"Dropout",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-54.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-68.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.72,-122.62
"Echo Sleep Sounds",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.44,-19.98
"Finch Self Care",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-69.99,0.00,-59.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.89,-129.98
"Focus Friend",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.99,0.00,0.00,-0.33,-14.99
"Gentler Streak 🏃",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.61,-27.49
"Google Storage",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.99,0.00,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,1.50,0.00,-1.16,-52.32
"Hearth Display 📒",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-86.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-86.40,0.00,0.00,0.00,0.00,-3.84,-172.80
"Hulu",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.39,0.00,0.00,0.00,-4.56,-4.56,-4.56,-4.56,-4.56,-1.14,0.00,-0.79,-35.33
"LastPass",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.13,-96.00
"Max",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.38,0.00,0.00,0.00,-15.94,0.00,-11.38,0.00,0.00,-40.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.75,-78.78
"Netflix",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.74,-17.53,0.00,0.00,0.00,-17.53,-17.53,-17.53,-17.53,-17.53,-17.53,-17.53,-17.53,-17.53,-20.36,-20.36,-20.36,-20.36,-20.36,-20.36,0.00,0.00,0.00,-6.98,-314.20
"Nintendo Online",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-79.99,-1.78,-79.99
"NY Times",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.04,-4.00,-8.00,-4.00,-4.00,-4.00,-4.00,-4.00,-6.00,-4.00,-4.00,-4.00,-4.00,-4.14,-4.00,-4.00,-4.00,-4.00,0.00,-1.72,-77.18
"Overcast",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.99,0.00,0.00,0.00,0.00,-0.56,-24.98
"Paired 💞",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.53,-23.99
"Peacock 🦚",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,0.00,-0.27,-12.00
"PlayStation Plus",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-101.24,-6.74,0.00,0.00,0.00,0.00,-2.40,-107.98
"ServiceOne AC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-295.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.56,-295.00
"Simply Draw ✏️",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-89.99,0.00,0.00,0.00,0.00,0.00,-2.00,-89.99
"TurboTax",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-95.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.09,-184.20
"Vimeo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.87,-84.00
"YNAB",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-89.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-98.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.16,-187.19
"YouTube Premium",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.10,-9.10,-9.10,-9.10,-29.49,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,0.00,0.00,0.00,-6.12,-275.33
"Subscriptions to Categorize📺",-2.99,-61.86,-131.27,-84.48,-136.92,-79.26,-136.32,-243.17,-197.12,-44.13,-501.53,-161.68,-232.60,-93.46,-148.44,-114.58,-160.63,-146.23,-273.90,-51.12,-301.59,-127.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.25,-3431.03
